product_id,name,price,brand,rating,category_id
0,Company,203.69,Hurst-Howe,4.7,5
1,Novel Pick,20.16,Macmillan,1.7,1
2,Image,111.54,Everett PLC,3.4,18
3,Shoulder,338.96,Lopez Group,1.8,14
4,Country,427.97,Jones-Lara,4.7,5
5,Thing,289.98,Smith-White,2.5,16
6,Shampoo Perhaps,145.11,Maybelline,2.0,4
7,Stuff,39.81,Oliver Inc,3.6,10
8,Glass,332.83,Hernandez Group,1.4,6
9,Military,94.78,Sanchez Group,2.8,13
10,Cookbook Section,59.45,Penguin,1.8,1
11,Eight,475.72,Phillips-Wright,2.7,15
12,Class,347.12,"Phillips, Kennedy and Bowman",4.4,7
13,Camera Property,1993.14,LG,4.5,0
14,Anyone,197.34,"Elliott, Smith and Huynh",3.3,8
15,Textbook Without,70.74,Vintage,4.0,1
16,Born,172.37,Case and Sons,3.6,11
17,Already,399.94,Lewis-Jacobs,3.8,18
18,Check,261.57,Stevens-Johnson,4.8,11
19,Sneakers Imagine,117.92,Zara,3.5,2
20,Oil,7.33,Smith Group,3.8,19
21,Vacuum Cleaner South,282.57,Panasonic,3.3,3
22,Time,354.18,Phillips and Sons,1.8,19
23,Poor,101.58,Walker PLC,4.1,6
24,Approach,477.51,"Clements, Gonzalez and Mayo",2.0,15
25,Enjoy,288.67,Miller Ltd,2.8,6
26,Argue,383.75,Tucker-Burnett,2.1,15
27,Focus,491.75,Estrada Inc,1.0,12
28,Nature,229.01,Hammond PLC,2.3,17
29,Jeans Key,143.05,Adidas,3.4,2
30,Close,478.26,Brown-Mendez,1.8,12
31,During,485.38,Blanchard-Erickson,2.3,14
32,Off,366.96,Gonzalez Ltd,1.0,15
33,Cultural,383.89,Long Inc,3.9,9
34,Give,188.35,Cobb-Jacobs,3.8,7
35,Popular,330.03,Alvarez-Black,4.5,6
36,Camera,186.13,"Villarreal, Jimenez and Forbes",4.4,16
37,Traditional,48.32,Williams Inc,4.3,16
38,Set,440.26,Bradford PLC,4.9,13
39,Microwave Suddenly,370.19,Bosch,4.8,3
40,Jeans Operation,17.43,Nike,2.7,2
41,Around,297.32,Keller Group,1.8,8
42,Light,493.9,Gallagher-Rose,2.3,11
43,Those,448.15,Robinson-Thomas,5.0,6
44,Despite,13.82,Howe-Soto,3.8,7
45,Word,60.64,"Foster, Jones and Ferguson",2.3,10
46,Available,389.83,Perry-Smith,2.8,8
47,Project,222.59,"Wong, Hart and Thompson",4.8,15
48,Down,383.27,"Roberts, Johnson and Lloyd",1.2,12
49,House,68.27,"Miller, Clark and Johnson",3.5,17
50,Try,311.95,Mills Group,4.3,13
51,Sneakers Another,97.94,Nike,1.9,2
52,Blender Factor,483.37,IKEA,2.6,3
53,Language,353.96,Willis and Sons,4.7,11
54,Apply,125.7,Ross Inc,3.5,8
55,She,126.09,"Torres, Stewart and Khan",2.1,13
56,Film,264.51,Smith Ltd,2.0,13
57,Account,193.03,"Ruiz, Ramos and Bailey",3.0,10
58,Large,474.47,Rose PLC,3.3,17
59,Hair,454.61,Phillips and Sons,2.1,11
