wishlist_id,user_id,product_id,added_on
0,28756,8808,2025-04-18
1,17701,9207,2025-05-11
2,22003,3095,2025-06-07
3,36213,307,2025-08-12
4,7972,2267,2025-06-17
5,33039,4159,2025-05-20
6,21138,8702,2025-09-24
7,7526,2116,2025-09-18
8,35587,1431,2025-05-09
9,19611,6896,2025-04-21
10,33561,7809,2025-06-15
11,7616,8406,2025-06-05
12,8456,9014,2025-04-14
13,1277,1946,2025-02-25
14,37517,336,2025-03-04
15,35410,7069,2025-10-20
16,38522,9983,2025-02-23
17,12129,1348,2025-08-28
18,25981,7702,2025-06-28
19,8430,5109,2025-06-29
20,38212,295,2025-07-23
21,13559,7127,2025-04-20
22,29441,8307,2025-08-23
23,34274,6961,2025-05-18
24,9879,8985,2025-06-28
25,7656,3305,2025-03-19
26,25412,4159,2025-03-06
27,9108,4585,2025-04-05
28,14856,4723,2025-10-03
29,8218,404,2025-01-29
30,23682,5268,2025-08-20
31,23844,7862,2025-07-26
32,15397,3181,2025-09-09
33,2502,1244,2025-10-21
34,361,2912,2025-05-02
35,3833,6498,2025-02-01
36,585,5802,2025-02-16
37,596,5478,2025-01-09
38,23727,1449,2025-05-21
39,11165,2626,2025-04-24
40,19869,2486,2025-02-11
41,38750,756,2025-10-16
42,15141,9049,2025-08-07
43,18542,970,2025-02-01
44,23886,3190,2025-07-27
45,11812,6486,2025-08-27
46,33021,7682,2025-09-11
47,4470,1526,2025-06-26
48,38064,7004,2025-04-07
49,908,6297,2025-11-02
50,35378,7656,2025-07-13
51,22501,1721,2025-01-06
52,16821,6761,2025-02-24
53,4666,5652,2025-04-20
54,5573,6507,2025-05-24
55,37628,1411,2025-06-08
56,3407,2403,2025-09-21
57,27973,5514,2025-06-12
58,4358,7260,2025-10-18
59,18808,4172,2025-05-25
60,39120,1788,2025-01-31
61,5908,8626,2025-01-29
62,12315,3911,2025-06-24
63,28731,6443,2025-09-18
64,2708,645,2025-09-28
65,25958,4963,2025-05-03
66,37183,6435,2025-05-15
67,17452,3233,2025-09-14
68,14443,9466,2025-02-03
69,10713,3367,2025-02-20
70,12653,383,2025-01-07
71,39338,309,2025-01-05
72,4018,7121,2025-05-22
73,10350,5203,2025-05-12
74,20680,1394,2025-02-11
75,37907,3458,2025-07-20
76,31929,1354,2025-05-28
77,14434,9556,2025-09-01
78,31949,6931,2025-06-16
79,16043,8139,2025-02-26
80,16322,1962,2025-06-01
81,32182,5511,2025-02-13
82,9913,4140,2025-09-15
83,11243,8584,2025-07-04
84,32501,657,2025-05-20
85,5408,4366,2025-02-04
86,13044,4373,2025-01-05
87,38092,6369,2025-06-18
88,31075,6426,2025-03-09
89,13070,631,2025-02-02
90,2271,9481,2025-06-09
91,14844,1601,2025-10-28
92,10851,7495,2025-04-01
93,25891,6088,2025-06-29
94,21648,6468,2025-05-20
95,22910,5741,2025-10-27
96,26226,6619,2025-04-08
97,5653,7203,2025-07-03
98,5651,4581,2025-08-18
99,38487,5239,2025-06-14
100,36130,4190,2025-10-27
101,3121,3717,2025-07-18
102,3775,2059,2025-06-27
103,31055,9596,2025-03-22
104,7216,527,2025-02-12
105,11870,8585,2025-08-30
106,17733,2191,2025-03-03
107,17173,6890,2025-07-19
108,30172,9665,2025-10-25
109,26297,9697,2025-06-01
110,7052,1098,2025-03-07
111,34169,2790,2025-09-29
112,35204,4862,2025-08-09
113,37999,7431,2025-04-24
114,33698,6895,2025-02-10
115,13755,4551,2025-01-21
116,12273,7825,2025-03-25
117,17005,5887,2025-09-14
118,36427,4891,2025-08-06
119,18941,6991,2025-06-05
120,3755,7262,2025-07-11
121,21661,6038,2025-11-03
122,669,8881,2025-03-19
123,5878,7395,2025-11-20
124,28240,7177,2025-08-07
125,1594,5850,2025-04-02
126,4194,2209,2025-01-09
127,733,5112,2025-02-26
128,16354,6091,2025-06-29
129,22059,662,2025-11-02
130,10539,6342,2025-03-12
131,22492,2346,2025-01-11
132,11232,2209,2025-01-30
133,1387,2390,2025-06-21
134,7864,754,2025-05-13
135,17193,7348,2025-11-19
136,36893,7498,2025-04-29
137,19495,8202,2025-04-29
138,34822,252,2025-07-20
139,20741,4036,2025-09-10
140,24992,4429,2025-09-11
141,28310,9564,2025-05-27
142,33069,9026,2025-05-25
143,27874,4770,2025-09-29
144,19870,4039,2025-07-26
145,6115,2539,2025-06-22
146,35929,1047,2025-03-01
147,17154,2440,2025-06-02
148,26070,3231,2025-09-18
149,36155,8143,2025-10-04
150,27988,7496,2025-11-17
151,25807,772,2025-03-05
152,23156,1583,2025-07-04
153,34616,3273,2025-04-30
154,10475,1023,2025-10-31
155,15807,252,2025-08-03
156,25552,6666,2025-03-30
