category_id,name,description
0,Electronics,"Devices such as phones, laptops, and home appliances."
1,Books,Printed and digital reading materials.
2,Clothing,Fashion and apparel for men and women.
3,Home,Household essentials and furniture.
4,Beauty,Personal care and cosmetic products.
5,Include,Lose indicate agent begin into.
6,Bring,Wife pretty dream finish.
7,Nation,Provide order bill floor service hear.
8,Key,Natural left manager order note.
9,Only,About heavy soldier leg usually agent at.
10,Husband,Including test training card ahead.
11,Clearly,Arrive collection writer war.
12,History,Fund final church rise piece he American.
13,Former,Our nearly enter.
14,Space,Ready already represent will.
